province,num_acc,num_injuries
Roi Et,1,2
Sakon Nakhon,1,1
Mukdahan,1,1
Surat Thani,3,5
Phitsanulok,1,2
Lopburi,1,0
Sa Kaeo,1,1
Kalasin,2,1
Suphan Buri,1,0
Surat Thani,1,1
Trat,1,1
Ubon Ratchathani,1,1
Mukdahan,1,1
Nakhon Phanom,1,0
Ang Thong,1,2
Phetchabun,2,5
Mae Hong Son,1,1
Uthai Thani,2,0
Surin,1,0
Chiang Mai,1,1
Khon Kaen,1,1
Chumphon,1,0
Sing Buri,1,1
Chachoengsao,1,0
Ang Thong,1,1
Nakhon Ratchasima,1,4
Nakhon Ratchasima,1,1
Surat Thani,1,0
Rayong,1,1
Phatthalung,2,1
Phetchabun,1,1
Suphan Buri,2,1
Sing Buri,2,0
Chiang Mai,1,1
Udon Thani,1,1
Yala,2,1
Chainat,1,0
Ang Thong,1,0
Bangkok,1,2
Phuket,2,0
Saraburi,2,0
Phetchabun,1,1
Phatthalung,2,1
Nakhon Pathom,1,1
Phuket,1,1
Chiang Rai,1,2
Tak,1,1
Samut Prakan,1,0
Narathiwat,1,1
Surat Thani,1,0
Nakhon Si Thammarat,1,3
Kalasin,1,1
Udon Thani,1,1
Phuket,1,1
Kamphaeng Phet,1,0
Rayong,2,1
Ang Thong,1,1
Sukhothai,2,1
Nakhon Sawan,2,1
Nakhon Si Thammarat,1,2
Phetchaburi,1,1
Sa Kaeo,1,1
Phichit,1,1
Saraburi,1,1
Phuket,1,0
Chainat,1,0
Sisaket,2,0
Chonburi,1,1
Samut Prakan,2,2
Surat Thani,2,1
Nakhon Nayok,1,1
Ubon Ratchathani,1,0
Chiang Rai,2,0
Chachoengsao,1,0
Samut Prakan,2,1
Nakhon Nayok,1,1
Nonthaburi,1,1
Nonthaburi,2,2
Phatthalung,1,0
Chiang Rai,2,2
Bueng Kan,2,3
Nakhon Ratchasima,3,1
Chiang Mai,1,0
Surat Thani,1,0
Mukdahan,1,1
Nakhon Ratchasima,1,1
Nakhon Pathom,2,2
Chiang Mai,1,1
Suphan Buri,2,1
Pathum Thani,1,1
Prachuap Khiri Khan,2,2
Prachinburi,1,1
Kanchanaburi,1,1
Yala,1,1
Chumphon,1,2
Kalasin,2,1
Nakhon Sawan,1,2
Phetchabun,1,1
Sa Kaeo,2,2
Phuket,1,1
Ang Thong,2,0
